kanji,id_5th_ed,id_6th_ed,keyword_5th_ed,keyword_6th_ed,components,on_reading,kun_reading
嘲,2155,54,derision,derision,mouth; morning; mist; ten; needle; early; sun; day; moon; month; flesh; part of the body,チョウ; トウ,あざけ.る
只,53,55,only,only,mouth; animal legs; eight,シ,ただ
貝,54,56,shellfish,shellfish,clam; oyster; eye; animal legs; eight,バイ,かい
唄,2178,57,pop song,pop song,mouth; shellfish; clam; oyster; eye; animal legs; eight,バイ,うた; うた.う
貞,55,58,upright,upright,magic wand; augury; divining rod; shellfish; clam; oyster; eye; animal legs; eight,テイ,さだ
員,56,59,employee,employee,mouth; shellfish; clam; oyster; eye; animal legs; eight,イン,
貼,2736,60,affix,post a bill,shellfish; clam; oyster; eye; animal legs; eight; fortune-telling; magic wand; augury; mouth,テン; チョウ,は.る; つ.く
見,57,61,see,see,eye; human legs,ケン,み.る; み.える; み.せる
児,58,62,newborn babe,newborn babe,olden times; stick; sun; day; human legs,ジ; ニ; ゲイ,こ; -こ; -っこ
元,59,63,beginning,beginning,two; human legs,ゲン; ガン,もと
頁,60,64,page,page,one; ceiling; drop; shellfish; clam; oyster; eye; animal legs; eight,ケツ,ぺえじ; おおがい; かしら
頑,61,65,stubborn,stubborn,beginning; two; human legs; head; page; one; ceiling; drop; shellfish; clam; oyster; eye; animal legs; eight,ガン,かたく
凡,62,66,mediocre,mediocre,drop; wind,ボン; ハン,およ.そ; おうよ.そ; すべ.て
負,63,67,defeat,defeat,bound up; shellfish; clam; oyster; eye; animal legs; eight,フ,ま.ける; ま.かす; お.う
万,64,68,ten thousand,ten thousand,one; ceiling; bound up,マン; バン,よろず
句,65,69,phrase,phrase,bound up; mouth,ク,
肌,66,70,texture,texture,moon; month; flesh; part of the body; wind,キ,はだ
旬,67,71,decameron,decameron,bound up; sun; day,ジュン; シュン,
勺,68,72,ladle,ladle,bound up; drop,シャク,
的,69,73,bull's eye,bull's eye,bull’s eye; white; dove; ladle; bound up; drop,テキ,まと
首,70,74,neck,neck,horns; nose; one; ceiling; drop; eye,シュ,くび
乙,71,75,fish guts,fish guts,fishguts; fishhook,オツ; イツ,おと-; きのと
乱,72,76,riot,riot,tongue; thousand; drop; ten; needle; mouth; fishhook,ラン; ロン,みだ.れる; みだ.る; みだ.す; みだ; おさ.める; わた.る
直,73,77,straightaway,straightaway,ten; needle; eye; fishhook,チョク; ジキ; ジカ,ただ.ちに; なお.す; -なお.す; なお.る; なお.き; す.ぐ
具,74,78,tool,tool,eye; one; animal legs; eight,グ,そな.える; つぶさ.に
真,75,79,true,true,ten; needle; eye; tool; one; animal legs; eight,シン,ま; ま-; まこと
工,76,80,craft,craft,artificial,コウ; ク; グ,
左,77,81,left,left,by one’s side; craft,サ; シャ,ひだり
右,78,82,right,right,by one’s side; mouth,ウ; ユウ,みぎ
有,79,83,possess,possess,by one’s side; moon; month; flesh; part of the body,ユウ; ウ,あ.る
賄,80,84,bribe,bribe,shellfish; clam; oyster; eye; animal legs; eight; possess; by one’s side; moon; month; flesh; part of the body,ワイ,まかな.う
貢,81,85,tribute,tribute,craft; shellfish; clam; oyster; eye; animal legs; eight,コウ; ク,みつ.ぐ
項,82,86,paragraph,paragraph,craft; head; page; one; ceiling; drop; shellfish; clam; oyster; eye; animal legs; eight,コウ,うなじ
刀,83,87,sword,sword,dagger,トウ,かたな; そり
刃,84,88,blade,blade,drop; sword; dagger,ジン; ニン,は; やいば; き.る
切,85,89,cut,cut,seven; diced; sword; dagger,セツ; サイ,き.る; -き.る; き.り; -き.り; -ぎ.り; き.れる; -き.れる; き.れ; -き.れ; -ぎ.れ
召,86,90,seduce,seduce,sword; dagger; mouth,ショウ,め.す
昭,87,91,shining,shining,sun; day; seduce; summon; sword; dagger; mouth,ショウ,
則,88,92,rule,rule,shellfish; clam; oyster; eye; animal legs; eight; sword; sabre; saber,ソク,のっと.る
副,89,93,vice-,vice-,wealth; one; ceiling; mouth; rice field; brains; sword; sabre; saber,フク,
別,90,94,separate,separate,mouth; bound up; sword; sabre; saber,ベツ,わか.れる; わ.ける
丁,91,95,street,street,nail; spike,チョウ; テイ; チン; トウ; チ,ひのと
町,92,96,village,village,rice field; brains; street; nail; spike,チョウ,まち
可,93,97,can,can,mouth; street; street; nail; spike,カ; コク,-べ.き
頂,94,98,place on the head,place on the head,street; nail; spike; head; page; one; ceiling; drop; shellfish; clam; oyster; eye; animal legs; eight,チョウ,いただ.く; いただき
子,95,99,child,child,,シ; ス; ツ,こ; -こ; ね
孔,96,100,cavity,cavity,child; fishhook,コウ,あな
了,97,101,complete,complete,child with arms wrapped up,リョウ,
女,98,102,woman,woman,,ジョ; ニョ; ニョウ,おんな; め
好,99,103,fond,fond,woman; child,コウ,この.む; す.く; よ.い; い.い
如,100,104,likeness,likeness,woman; mouth,ジョ; ニョ,ごと.し
